id,name,muscle_group,equipment_type,tier_id (current id),tier_name,suggested_tier_name
6c328779-9b8d-4850-9a7f-787fa411c461,Assisted Dip,Triceps,Machine Assistance,2c29ad91-9826-4f7b-83b5-e21d6c8daf88,small_compound,
4ca59250-6d8e-4f75-87e1-8ad0d0cf0a25,Assisted Pullup,Back,Machine Assistance,5eb8c42b-07e3-4f61-8ca8-6dd3d94adbe2,large_isolation,large_compound
7eef273f-5fe3-45b1-b082-0b115b2bf0fe,Back Raise (45 Degree),Hamstrings,Bodyweight Only,15e55e93-3a3d-4aef-af47-22e2e44eb07c,small_isolation,
37288fa3-153c-4082-8c85-2c126004c5a7,Back Raise (GHD),Hamstrings,Bodyweight Only,15e55e93-3a3d-4aef-af47-22e2e44eb07c,small_isolation,
10ba0801-6aa7-4f93-b18f-8d578885bccd,Barbell Bent Over Row,Back,Barbell,0a0a2bfe-d078-4f07-8068-ce686be7c005,medium_compound,large_compound
f2dc4c82-28ea-452b-a36a-fe184ee4398f,Barbell Curl (Narrow Grip),Biceps,Barbell,0a0a2bfe-d078-4f07-8068-ce686be7c005,medium_compound,
9de01757-73e8-4229-b418-0f14f0300366,Barbell Squat (Narrow Stance),Quads,Barbell,42e7b381-1398-4b6a-9e85-569eca1504f1,large_compound,
68cec54e-11e9-4f0f-955a-cc8e84a2cdfa,Barbell Squat (Sumo Stance),Glutes,Barbell,42e7b381-1398-4b6a-9e85-569eca1504f1,large_compound,
30010d3b-2dff-45c6-b48b-9afa12fe2a12,Barbell Upright Row,Shoulders,Barbell,0a0a2bfe-d078-4f07-8068-ce686be7c005,medium_compound,large_compound
55d5f3a2-1f95-4db0-bf68-07b867e0ac3a,Belt Squat (Wide Stance),Glutes,Machine,42e7b381-1398-4b6a-9e85-569eca1504f1,large_compound,
6825a38a-d9e3-42c9-b867-e7dd9dbc462c,Bench Press (Close Grip),Triceps,Barbell,0a0a2bfe-d078-4f07-8068-ce686be7c005,medium_compound,large_compound
12ac53ad-9d1b-4e0b-8e70-72f30572e016,Bench Press (Decline),Chest,Barbell,0a0a2bfe-d078-4f07-8068-ce686be7c005,medium_compound,large_compound
3b2438bf-eca7-4445-be14-c409f5a9eec5,Bench Press (Flat),Chest,Barbell,0a0a2bfe-d078-4f07-8068-ce686be7c005,medium_compound,large_compound
9d234abd-3f96-4d03-821c-87362e33e673,Bench Press (Incline),Chest,Barbell,0a0a2bfe-d078-4f07-8068-ce686be7c005,medium_compound,large_compound
3bfbc90e-217c-40f6-9e56-cb48207f022e,Block Clean,Olympic Lifts,Barbell,0a0a2bfe-d078-4f07-8068-ce686be7c005,medium_compound,large_compound
02b6c6a7-7d3a-4db4-812e-5f106cc4c457,Block Snatch,Olympic Lifts,Barbell,0a0a2bfe-d078-4f07-8068-ce686be7c005,medium_compound,large_compound
4088161b-9ca0-42eb-b81e-444da54c04d3,Bulgarian Split Squat (Glute-Focused),Glutes,Dumbbell,42e7b381-1398-4b6a-9e85-569eca1504f1,large_compound,
deb33cc5-ce95-4f2e-8b90-1cb7b169cf3a,Bulgarian Split Squats,Glutes,Smith Machine,42e7b381-1398-4b6a-9e85-569eca1504f1,large_compound,
b404a09f-bf29-48cc-936b-29ac9c9c3ad8,Cable Chest Press,Chest,Cable,0a0a2bfe-d078-4f07-8068-ce686be7c005,medium_compound,
8ed384d4-85c9-4afa-bb79-b9697e6d6afe,Cable Flye,Chest,Cable,15e55e93-3a3d-4aef-af47-22e2e44eb07c,small_isolation,
3eae924e-431b-4dbc-b1c2-31587e884a63,Cable Flye (Bent Over),Chest,Cable,15e55e93-3a3d-4aef-af47-22e2e44eb07c,small_isolation,
e9faa5eb-5a5d-42e4-a45b-b47642f3a8ca,Cable Flye (High),Chest,Cable,15e55e93-3a3d-4aef-af47-22e2e44eb07c,small_isolation,
b2ab5c44-9ae1-4b48-a4ff-55b5178ff9b0,Cable Flye (Seated),Chest,Cable,15e55e93-3a3d-4aef-af47-22e2e44eb07c,small_isolation,
